Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1712258101.338834,389379,0,1
1,NewOrder,1712258101.728371,203506,0,1
2,Payment,1712258101.931927,71878,0,1
2,Payment,1712258102.003843,77773,0,1
1,NewOrder,1712258102.081650,167805,0,1
2,Payment,1712258102.249487,77766,0,1
2,Payment,1712258102.327287,98491,0,1
2,Payment,1712258102.425810,81175,0,1
1,NewOrder,1712258102.507018,114085,0,1
1,NewOrder,1712258102.621135,104343,0,1
1,NewOrder,1712258102.725509,117326,0,1
1,NewOrder,1712258102.842868,137493,0,1
1,NewOrder,1712258102.980393,168469,0,1
1,NewOrder,1712258103.148896,161063,0,1
2,Payment,1712258103.309992,77872,0,1
1,NewOrder,1712258103.387897,126182,0,1
2,Payment,1712258103.514112,77597,0,1
1,NewOrder,1712258103.591741,156065,0,1
2,Payment,1712258103.747842,83496,0,1
2,Payment,1712258103.831381,95836,0,1
1,NewOrder,1712258103.927250,113806,0,1
3,OrderStatus,1712258104.041095,16371,0,1
1,NewOrder,1712258104.057499,109820,0,1
1,NewOrder,1712258104.167351,149937,0,1
2,Payment,1712258104.317320,77284,0,1
2,Payment,1712258104.394638,95972,0,1
1,NewOrder,1712258104.490645,137844,0,1
1,NewOrder,1712258104.628534,113766,0,1
2,Payment,1712258104.742339,74494,0,1
1,NewOrder,1712258104.816887,159735,0,1
2,Payment,1712258104.976680,71405,0,1
1,NewOrder,1712258105.048135,162220,0,1
1,NewOrder,1712258105.210410,137682,0,1
2,Payment,1712258105.348153,77465,0,1
4,Delivery,1712258105.425656,342096,0,1
2,Payment,1712258105.767808,80178,0,1
1,NewOrder,1712258105.848017,107647,0,1
2,Payment,1712258105.955739,69452,0,1
2,Payment,1712258106.025238,89025,0,1
2,Payment,1712258106.114322,76864,0,1
1,NewOrder,1712258106.191220,159042,0,1
1,NewOrder,1712258106.350301,158486,0,1
2,Payment,1712258106.508848,66016,0,1
1,NewOrder,1712258106.574927,149470,0,1
1,NewOrder,1712258106.724434,99725,0,1
2,Payment,1712258106.824193,68507,0,1
1,NewOrder,1712258106.892734,101814,0,1
1,NewOrder,1712258106.994672,135582,0,1
3,OrderStatus,1712258107.130329,9971,0,1
2,Payment,1712258107.140334,99918,0,1
1,NewOrder,1712258107.240295,89917,0,1
2,Payment,1712258107.330238,77794,0,1
2,Payment,1712258107.408065,84180,0,1
2,Payment,1712258107.492278,86624,0,1
2,Payment,1712258107.578936,74711,0,1
4,Delivery,1712258107.653703,314863,0,1
1,NewOrder,1712258107.968607,101831,0,1
2,Payment,1712258108.070485,72023,0,1
1,NewOrder,1712258108.142541,147182,0,1
2,Payment,1712258108.289765,65295,0,1
2,Payment,1712258108.355093,83804,0,1
3,OrderStatus,1712258108.438938,16224,0,1
1,NewOrder,1712258108.455196,88542,0,1
1,NewOrder,1712258108.543773,162549,0,1
2,Payment,1712258108.706390,65254,0,1
1,NewOrder,1712258108.771682,150184,0,1
2,Payment,1712258108.921907,62587,0,1
1,NewOrder,1712258108.984529,86579,0,1
2,Payment,1712258109.071141,66112,0,1
1,NewOrder,1712258109.137288,134956,0,1
1,NewOrder,1712258109.272278,104964,0,1
2,Payment,1712258109.377277,65485,0,1
1,NewOrder,1712258109.442794,99088,0,1
1,NewOrder,1712258109.541943,110499,0,1
4,Delivery,1712258109.652479,311926,0,1
2,Payment,1712258109.964441,71892,0,1
1,NewOrder,1712258110.036367,159129,0,1
1,NewOrder,1712258110.195529,98856,0,1
2,Payment,1712258110.294417,64684,0,1
5,StockLevel,1712258110.360176,25388,0,1
2,Payment,1712258110.385598,70242,0,1
3,OrderStatus,1712258110.455873,19211,0,1
2,Payment,1712258110.475106,73939,0,1
1,NewOrder,1712258110.549078,116763,0,1
1,NewOrder,1712258110.665887,116796,0,1
1,NewOrder,1712258110.782717,149823,0,1
2,Payment,1712258110.932572,65796,0,1
1,NewOrder,1712258110.998400,159064,0,1
2,Payment,1712258111.157497,65556,0,1
2,Payment,1712258111.223093,77892,0,1
1,NewOrder,1712258111.301028,128934,0,1
2,Payment,1712258111.430011,68717,0,1
5,StockLevel,1712258111.498770,15296,0,1
2,Payment,1712258111.514098,74504,0,1
5,StockLevel,1712258111.588642,15409,0,1
2,Payment,1712258111.604084,59490,0,1
2,Payment,1712258111.663607,83751,0,1
1,NewOrder,1712258111.747391,120050,0,1
5,StockLevel,1712258111.867481,42889,0,1
2,Payment,1712258111.910403,70719,0,1
4,Delivery,1712258111.981155,320746,0,1
1,NewOrder,1712258112.301943,117289,0,1
2,Payment,1712258112.419269,74273,0,1
4,Delivery,1712258112.493580,311776,0,1
2,Payment,1712258112.805393,71949,0,1
1,NewOrder,1712258112.877384,134937,0,1
2,Payment,1712258113.012355,68986,0,1
1,NewOrder,1712258113.081374,117180,0,1
2,Payment,1712258113.198595,74396,0,1
1,NewOrder,1712258113.273036,107655,0,1
2,Payment,1712258113.380734,66033,0,1
5,StockLevel,1712258113.446805,15376,0,1
2,Payment,1712258113.462217,62467,0,1
1,NewOrder,1712258113.524721,168195,0,1
2,Payment,1712258113.692950,62415,0,1
2,Payment,1712258113.755399,83806,0,1
1,NewOrder,1712258113.839238,134780,0,1
1,NewOrder,1712258113.974051,149711,0,1
1,NewOrder,1712258114.123801,126011,0,1
1,NewOrder,1712258114.249852,99064,0,1
2,Payment,1712258114.348967,68782,0,1
1,NewOrder,1712258114.417789,125650,0,1
1,NewOrder,1712258114.543479,99056,0,1
2,Payment,1712258114.642576,68705,0,1
2,Payment,1712258114.711323,77827,0,1
2,Payment,1712258114.789197,78001,0,1
2,Payment,1712258114.867241,92669,0,1
1,NewOrder,1712258114.960044,147395,0,1
1,NewOrder,1712258115.107502,95542,0,1
2,Payment,1712258115.203089,65672,0,1
2,Payment,1712258115.268824,77745,0,1
2,Payment,1712258115.346610,77748,0,1
1,NewOrder,1712258115.424396,156243,0,1
2,Payment,1712258115.580676,65486,0,1
1,NewOrder,1712258115.646213,119641,0,1
3,OrderStatus,1712258115.765892,9080,0,1
2,Payment,1712258115.775005,78033,0,1
1,NewOrder,1712258115.853071,143818,0,1
2,Payment,1712258115.996939,64524,0,1
1,NewOrder,1712258116.061504,116560,0,1
1,NewOrder,1712258116.178100,99180,0,1
2,Payment,1712258116.277314,68723,0,1
4,Delivery,1712258116.346071,311810,0,1
2,Payment,1712258116.657918,72024,0,1
2,Payment,1712258116.729975,86813,0,1
2,Payment,1712258116.816822,86815,0,1
1,NewOrder,1712258116.903670,119599,0,1
3,OrderStatus,1712258117.023303,12971,0,1
2,Payment,1712258117.036307,75699,0,1
3,OrderStatus,1712258117.112058,8488,0,1
2,Payment,1712258117.120574,94620,0,1
5,StockLevel,1712258117.215251,18754,0,1
2,Payment,1712258117.234048,80207,0,1
1,NewOrder,1712258117.314285,105511,0,1
2,Payment,1712258117.419840,68124,0,1
2,Payment,1712258117.487996,75139,0,1
2,Payment,1712258117.563169,83812,0,1
2,Payment,1712258117.647015,80438,0,1
1,NewOrder,1712258117.727486,99236,0,1
2,Payment,1712258117.826756,65957,0,1
1,NewOrder,1712258117.892746,86351,0,1
1,NewOrder,1712258117.979131,129378,0,1
1,NewOrder,1712258118.108553,101972,0,1
1,NewOrder,1712258118.210574,110115,0,1
1,NewOrder,1712258118.320725,99918,0,1
1,NewOrder,1712258118.420689,103803,0,1
1,NewOrder,1712258118.524526,99967,0,1
2,Payment,1712258118.624527,68210,0,1
1,NewOrder,1712258118.692771,107633,0,1
2,Payment,1712258118.800437,72011,0,1
1,NewOrder,1712258118.872481,168235,0,1
1,NewOrder,1712258119.040758,116651,0,1
1,NewOrder,1712258119.157442,89819,0,1
1,NewOrder,1712258119.247295,149771,0,1
1,NewOrder,1712258119.397102,144413,0,1
2,Payment,1712258119.541562,68431,0,1
1,NewOrder,1712258119.610028,128756,0,1
2,Payment,1712258119.738820,68690,0,1
1,NewOrder,1712258119.807546,144162,0,1
2,Payment,1712258119.951743,65524,0,1
2,Payment,1712258120.017302,74956,0,1
1,NewOrder,1712258120.092293,144027,0,1
1,NewOrder,1712258120.236366,149741,0,1
1,NewOrder,1712258120.386141,150003,0,1
2,Payment,1712258120.536188,68458,0,1
1,NewOrder,1712258120.604692,135189,0,1
1,NewOrder,1712258120.739915,131895,0,1
1,NewOrder,1712258120.871846,98783,0,1
1,NewOrder,1712258120.970667,78308,0,1
2,Payment,1712258121.049017,59486,0,1
2,Payment,1712258121.108542,72118,0,1
1,NewOrder,1712258121.180698,153109,0,1
2,Payment,1712258121.333855,62566,0,1
1,NewOrder,1712258121.396459,119581,0,1
2,Payment,1712258121.516088,71965,0,1
1,NewOrder,1712258121.588099,105347,0,1
1,NewOrder,1712258121.693482,110302,0,1
1,NewOrder,1712258121.803820,143782,0,1
1,NewOrder,1712258121.947640,159397,0,1
1,NewOrder,1712258122.107074,167857,0,1
1,NewOrder,1712258122.274968,116816,0,1
2,Payment,1712258122.391821,77439,0,1
5,StockLevel,1712258122.469296,14792,0,1
1,NewOrder,1712258122.484123,144374,0,1
1,NewOrder,1712258122.628532,149876,0,1
1,NewOrder,1712258122.778445,98671,0,1
3,OrderStatus,1712258122.877153,8618,0,1
2,Payment,1712258122.885806,78341,0,1
1,NewOrder,1712258122.964274,119697,0,1
2,Payment,1712258123.084010,68451,0,1
2,Payment,1712258123.152496,93214,0,1
1,NewOrder,1712258123.245746,134297,0,1
1,NewOrder,1712258123.380088,161850,0,1
2,Payment,1712258123.541973,65945,0,1
2,Payment,1712258123.607953,71935,0,1
2,Payment,1712258123.679921,87199,0,1
2,Payment,1712258123.767165,83810,0,1
2,Payment,1712258123.851009,83820,0,1
2,Payment,1712258123.934864,83826,0,1
1,NewOrder,1712258124.018730,98376,0,1
1,NewOrder,1712258124.117151,141423,0,1
2,Payment,1712258124.258609,65715,0,1
2,Payment,1712258124.324359,83862,0,1
2,Payment,1712258124.408256,83896,0,1
1,NewOrder,1712258124.492191,152307,0,1
2,Payment,1712258124.644548,65912,0,1
2,Payment,1712258124.710494,93228,0,1
1,NewOrder,1712258124.803761,164456,0,1
2,Payment,1712258124.968252,65953,0,1
1,NewOrder,1712258125.034240,107775,0,1
2,Payment,1712258125.142052,66007,0,1
1,NewOrder,1712258125.208094,135133,0,1
1,NewOrder,1712258125.343271,94878,0,1
1,NewOrder,1712258125.438183,179831,0,1
1,NewOrder,1712258125.618061,173867,0,1
1,NewOrder,1712258125.791963,119548,0,1
1,NewOrder,1712258125.911567,167771,0,1
3,OrderStatus,1712258126.079433,8906,0,1
2,Payment,1712258126.088409,116455,0,1
1,NewOrder,1712258126.204943,162282,0,1
2,Payment,1712258126.367292,119219,0,1
5,StockLevel,1712258126.486555,28698,0,1
2,Payment,1712258126.515287,102938,0,1
2,Payment,1712258126.618259,119753,0,1
1,NewOrder,1712258126.738062,148898,0,1
4,Delivery,1712258126.886994,437959,0,1
2,Payment,1712258127.325004,95746,0,1
2,Payment,1712258127.420800,124763,0,1
2,Payment,1712258127.545632,96734,0,1
2,Payment,1712258127.642421,77826,0,1
1,NewOrder,1712258127.720280,117000,0,1
3,OrderStatus,1712258127.837317,7384,0,1
3,OrderStatus,1712258127.844732,10180,0,1
5,StockLevel,1712258127.854968,13975,0,1
1,NewOrder,1712258127.869001,106665,0,1
2,Payment,1712258127.975745,62147,0,1
1,NewOrder,1712258128.038082,105079,0,1
1,NewOrder,1712258128.143227,138278,0,1
1,NewOrder,1712258128.281525,140147,0,1
1,NewOrder,1712258128.421693,141618,0,1
2,Payment,1712258128.563333,79128,0,1
1,NewOrder,1712258128.642482,125708,0,1
1,NewOrder,1712258128.768211,80539,0,1
2,Payment,1712258128.848771,75323,0,1
2,Payment,1712258128.924114,80461,0,1
2,Payment,1712258129.004595,69274,0,1
2,Payment,1712258129.073888,77948,0,1
2,Payment,1712258129.151856,77754,0,1
1,NewOrder,1712258129.229630,122521,0,1
2,Payment,1712258129.352171,69227,0,1
2,Payment,1712258129.421419,77762,0,1
2,Payment,1712258129.499201,77895,0,1
5,StockLevel,1712258129.577116,15187,0,1
2,Payment,1712258129.592323,62751,0,1
1,NewOrder,1712258129.655095,92835,0,1
1,NewOrder,1712258129.747950,146699,0,1
2,Payment,1712258129.894668,65919,0,1
1,NewOrder,1712258129.960607,155807,0,1
1,NewOrder,1712258130.116434,129022,0,1
2,Payment,1712258130.245476,68841,0,1
2,Payment,1712258130.314337,77831,0,1
2,Payment,1712258130.392201,77961,0,1
2,Payment,1712258130.470186,77776,0,1
2,Payment,1712258130.547982,77869,0,1
1,NewOrder,1712258130.625871,128575,0,1
1,NewOrder,1712258130.754466,147463,0,1
1,NewOrder,1712258130.901972,158626,0,1
1,NewOrder,1712258131.060619,86953,0,1
1,NewOrder,1712258131.147591,98302,0,1
2,Payment,1712258131.245914,69250,0,1
2,Payment,1712258131.315184,78000,0,1
2,Payment,1712258131.393204,77731,0,1
2,Payment,1712258131.470955,77988,0,1
4,Delivery,1712258131.548969,311559,0,1
2,Payment,1712258131.860550,68624,0,1
2,Payment,1712258131.929195,81320,0,1
2,Payment,1712258132.010536,77729,0,1
2,Payment,1712258132.088285,78060,0,1
1,NewOrder,1712258132.166366,132364,0,1
1,NewOrder,1712258132.298754,143160,0,1
2,Payment,1712258132.441938,65996,0,1
2,Payment,1712258132.507953,77884,0,1
1,NewOrder,1712258132.585857,194363,0,1
1,NewOrder,1712258132.780339,140967,0,1
2,Payment,1712258132.921325,59669,0,1
1,NewOrder,1712258132.981015,110994,0,1
2,Payment,1712258133.092029,62900,0,1
1,NewOrder,1712258133.154949,125744,0,1
1,NewOrder,1712258133.280712,140677,0,1
1,NewOrder,1712258133.421409,147488,0,1
2,Payment,1712258133.568918,62244,0,1
1,NewOrder,1712258133.631182,119882,0,1
2,Payment,1712258133.751084,69398,0,1
1,NewOrder,1712258133.820504,110656,0,1
1,NewOrder,1712258133.931180,129138,0,1
2,Payment,1712258134.060339,62214,0,1
1,NewOrder,1712258134.122574,159211,0,1
2,Payment,1712258134.281807,62555,0,1
1,NewOrder,1712258134.344387,138312,0,1
2,Payment,1712258134.482719,59380,0,1
1,NewOrder,1712258134.542120,129077,0,1
2,Payment,1712258134.671217,62695,0,1
2,Payment,1712258134.733932,65987,0,1
2,Payment,1712258134.799938,65735,0,1
2,Payment,1712258134.865694,71835,0,1
2,Payment,1712258134.937548,65879,0,1
1,NewOrder,1712258135.003448,165674,0,1
2,Payment,1712258135.169141,62088,0,1
2,Payment,1712258135.231248,65862,0,1
2,Payment,1712258135.297129,65949,0,1
1,NewOrder,1712258135.363098,82059,0,1
2,Payment,1712258135.445171,59071,0,1
1,NewOrder,1712258135.504261,122493,0,1
2,Payment,1712258135.626777,69343,0,1
1,NewOrder,1712258135.696138,140391,0,1
1,NewOrder,1712258135.836549,170623,0,1
2,Payment,1712258136.007200,91688,0,1
2,Payment,1712258136.098915,65936,0,1
2,Payment,1712258136.164870,65874,0,1
1,NewOrder,1712258136.230764,132310,0,1
1,NewOrder,1712258136.363094,99072,0,1
1,NewOrder,1712258136.462186,77562,0,1
1,NewOrder,1712258136.539766,80798,0,1
2,Payment,1712258136.620585,59576,0,1
2,Payment,1712258136.680181,65928,0,1
1,NewOrder,1712258136.746128,105617,0,1
1,NewOrder,1712258136.851764,116193,0,1
2,Payment,1712258136.967977,65859,0,1
1,NewOrder,1712258137.033855,112579,0,1
2,Payment,1712258137.146467,106530,0,1
1,NewOrder,1712258137.253025,165037,0,1
2,Payment,1712258137.418089,62707,0,1
3,OrderStatus,1712258137.480822,10923,0,1
1,NewOrder,1712258137.491764,157459,0,1
3,OrderStatus,1712258137.649248,10171,0,1
2,Payment,1712258137.659452,60999,0,1
2,Payment,1712258137.720469,65875,0,1
1,NewOrder,1712258137.786364,161924,0,1
3,OrderStatus,1712258137.948310,9474,0,1
3,OrderStatus,1712258137.957804,9607,0,1
2,Payment,1712258137.967430,58634,0,1
1,NewOrder,1712258138.026084,95897,0,1
1,NewOrder,1712258138.122005,129683,0,1
2,Payment,1712258138.251707,62155,0,1
1,NewOrder,1712258138.313881,153495,0,1
2,Payment,1712258138.467403,62233,0,1
3,OrderStatus,1712258138.529658,8600,0,1
1,NewOrder,1712258138.538280,87680,0,1
1,NewOrder,1712258138.625981,125776,0,1
2,Payment,1712258138.751779,59465,0,1
1,NewOrder,1712258138.811266,87406,0,1
2,Payment,1712258138.898693,62405,0,1
1,NewOrder,1712258138.961118,95893,0,1
2,Payment,1712258139.057032,59982,0,1
1,NewOrder,1712258139.117035,135482,0,1
1,NewOrder,1712258139.252539,125372,0,1
2,Payment,1712258139.377933,62624,0,1
2,Payment,1712258139.440576,65929,0,1
1,NewOrder,1712258139.506524,95902,0,1
1,NewOrder,1712258139.602448,111211,0,1
2,Payment,1712258139.713693,62470,0,1
2,Payment,1712258139.776182,65879,0,1
1,NewOrder,1712258139.842081,117186,0,1
5,StockLevel,1712258139.959319,19482,0,1
1,NewOrder,1712258139.978824,82848,0,1
2,Payment,1712258140.061703,62056,0,1
1,NewOrder,1712258140.123776,105182,0,1
2,Payment,1712258140.228975,62558,0,1
1,NewOrder,1712258140.291550,105199,0,1
2,Payment,1712258140.396766,62535,0,1
5,StockLevel,1712258140.459317,15780,0,1
2,Payment,1712258140.475121,62125,0,1
1,NewOrder,1712258140.537263,125915,0,1
2,Payment,1712258140.663196,59813,0,1
2,Payment,1712258140.723040,65866,0,1
1,NewOrder,1712258140.788924,131912,0,1
1,NewOrder,1712258140.920858,147715,0,1
1,NewOrder,1712258141.068591,143896,0,1
2,Payment,1712258141.212504,62121,0,1
2,Payment,1712258141.274648,65863,0,1
2,Payment,1712258141.340534,65974,0,1
1,NewOrder,1712258141.406525,147586,0,1
1,NewOrder,1712258141.554129,131820,0,1
5,StockLevel,1712258141.685967,19094,0,1
1,NewOrder,1712258141.705077,139493,0,1
2,Payment,1712258141.844593,59329,0,1
1,NewOrder,1712258141.903940,105222,0,1
2,Payment,1712258142.009179,77762,0,1
2,Payment,1712258142.086958,74676,0,1
2,Payment,1712258142.161651,65911,0,1
5,StockLevel,1712258142.227579,14242,0,1
1,NewOrder,1712258142.241839,84836,0,1
2,Payment,1712258142.326692,62654,0,1
2,Payment,1712258142.389363,77799,0,1
2,Payment,1712258142.467180,65905,0,1
2,Payment,1712258142.533102,66097,0,1
2,Payment,1712258142.599215,71640,0,1
1,NewOrder,1712258142.670872,123169,0,1
1,NewOrder,1712258142.794057,108341,0,1
2,Payment,1712258142.902415,62184,0,1
1,NewOrder,1712258142.964616,107873,0,1
2,Payment,1712258143.072506,59801,0,1
2,Payment,1712258143.132324,65885,0,1
1,NewOrder,1712258143.198226,114028,0,1
1,NewOrder,1712258143.312270,126299,0,1
1,NewOrder,1712258143.438587,113769,0,1
1,NewOrder,1712258143.552373,131513,0,1
1,NewOrder,1712258143.683928,99130,0,1
2,Payment,1712258143.783082,62564,0,1
5,StockLevel,1712258143.845669,16076,0,1
3,OrderStatus,1712258143.861765,8311,0,1
2,Payment,1712258143.870092,59429,0,1
2,Payment,1712258143.929538,65893,0,1
1,NewOrder,1712258143.995449,107832,0,1
2,Payment,1712258144.103298,59920,0,1
1,NewOrder,1712258144.163235,131894,0,1
2,Payment,1712258144.295147,59804,0,1
2,Payment,1712258144.354967,65968,0,1
2,Payment,1712258144.420953,65847,0,1
2,Payment,1712258144.486816,68741,0,1
2,Payment,1712258144.555574,69037,0,1
5,StockLevel,1712258144.624628,15478,0,1
1,NewOrder,1712258144.640123,89596,0,1
4,Delivery,1712258144.729737,318090,0,1
1,NewOrder,1712258145.047856,113567,0,1
1,NewOrder,1712258145.161453,81180,0,1
2,Payment,1712258145.242653,65594,0,1
1,NewOrder,1712258145.308267,144474,0,1
1,NewOrder,1712258145.452761,116361,0,1
1,NewOrder,1712258145.569140,131964,0,1
1,NewOrder,1712258145.701124,93203,0,1
1,NewOrder,1712258145.794355,105140,0,1
2,Payment,1712258145.899520,159685,0,1
1,NewOrder,1712258146.059236,216293,0,1
2,Payment,1712258146.275559,118509,0,1
1,NewOrder,1712258146.394088,175729,0,1
2,Payment,1712258146.569850,105806,0,1
2,Payment,1712258146.675679,157169,0,1
1,NewOrder,1712258146.832872,160111,0,1
2,Payment,1712258146.993003,111926,0,1
4,Delivery,1712258147.104958,350571,0,1
1,NewOrder,1712258147.455559,172025,0,1
1,NewOrder,1712258147.627609,85847,0,1
2,Payment,1712258147.713475,69653,0,1
2,Payment,1712258147.783154,77725,0,1
2,Payment,1712258147.860898,73835,0,1
1,NewOrder,1712258147.934757,105700,0,1
1,NewOrder,1712258148.040483,128581,0,1
1,NewOrder,1712258148.169083,87536,0,1
2,Payment,1712258148.256639,65552,0,1
1,NewOrder,1712258148.322209,158534,0,1
1,NewOrder,1712258148.480762,132182,0,1
5,StockLevel,1712258148.612967,17344,0,1
2,Payment,1712258148.630328,69647,0,1
1,NewOrder,1712258148.699992,137589,0,1
1,NewOrder,1712258148.837599,92265,0,1
1,NewOrder,1712258148.929882,124118,0,1
2,Payment,1712258149.054028,83306,0,1
2,Payment,1712258149.137354,83972,0,1
5,StockLevel,1712258149.221345,16269,0,1
1,NewOrder,1712258149.237631,93551,0,1
1,NewOrder,1712258149.331200,154283,0,1
2,Payment,1712258149.485502,115341,0,1
4,Delivery,1712258149.600861,347996,0,1
1,NewOrder,1712258149.948880,117524,0,1
2,Payment,1712258150.066423,89985,0,1
2,Payment,1712258150.156431,77902,0,1
1,NewOrder,1712258150.234350,116168,0,1
2,Payment,1712258150.350540,69471,0,1
1,NewOrder,1712258150.420030,167633,0,1
2,Payment,1712258150.587681,102176,0,1
1,NewOrder,1712258150.689875,157596,0,1
2,Payment,1712258150.847496,77825,0,1
1,NewOrder,1712258150.925346,113902,0,1
1,NewOrder,1712258151.039265,108370,0,1
2,Payment,1712258151.147652,69364,0,1
2,Payment,1712258151.217033,77794,0,1
5,StockLevel,1712258151.294845,16815,0,1
2,Payment,1712258151.311677,61086,0,1
1,NewOrder,1712258151.372797,98202,0,1
2,Payment,1712258151.471023,69509,0,1
1,NewOrder,1712258151.540549,122747,0,1
1,NewOrder,1712258151.663314,116815,0,1
2,Payment,1712258151.780153,68023,0,1
2,Payment,1712258151.848198,83799,0,1
2,Payment,1712258151.932014,87872,0,1
2,Payment,1712258152.019904,91842,0,1
1,NewOrder,1712258152.111764,120209,0,1
1,NewOrder,1712258152.231991,150055,0,1
2,Payment,1712258152.382081,89261,0,1
1,NewOrder,1712258152.471360,141568,0,1
1,NewOrder,1712258152.612946,119911,0,1
1,NewOrder,1712258152.732874,134051,0,1
2,Payment,1712258152.866944,93689,0,1
2,Payment,1712258152.960662,91894,0,1
1,NewOrder,1712258153.052573,155923,0,1
2,Payment,1712258153.208514,81634,0,1
1,NewOrder,1712258153.290166,119763,0,1
2,Payment,1712258153.409953,66150,0,1
2,Payment,1712258153.476121,77870,0,1
2,Payment,1712258153.554024,77766,0,1
5,StockLevel,1712258153.631808,16924,0,1
5,StockLevel,1712258153.648754,16325,0,1
2,Payment,1712258153.665097,68543,0,1
2,Payment,1712258153.733658,77786,0,1
1,NewOrder,1712258153.811461,132285,0,1
5,StockLevel,1712258153.943764,15501,0,1
1,NewOrder,1712258153.959283,68234,0,1
5,StockLevel,1712258154.027533,18073,0,1
1,NewOrder,1712258154.045622,119726,0,1
2,Payment,1712258154.165366,101705,0,1
4,Delivery,1712258154.267088,329496,0,1
1,NewOrder,1712258154.596605,134099,0,1
3,OrderStatus,1712258154.730724,10319,0,1
1,NewOrder,1712258154.741061,167208,0,1
2,Payment,1712258154.908421,83843,0,1
1,NewOrder,1712258154.992281,186154,0,1
2,Payment,1712258155.178461,71427,0,1
1,NewOrder,1712258155.249905,120036,0,1
1,NewOrder,1712258155.369959,116391,0,1
3,OrderStatus,1712258155.486368,10339,0,1
3,OrderStatus,1712258155.496724,9671,0,1
3,OrderStatus,1712258155.506412,10095,0,1
2,Payment,1712258155.516538,83161,0,1
2,Payment,1712258155.599716,83766,0,1
1,NewOrder,1712258155.683500,136138,0,1
1,NewOrder,1712258155.819656,173722,0,1
2,Payment,1712258155.993408,66420,0,1
5,StockLevel,1712258156.059851,16597,0,1
1,NewOrder,1712258156.076467,166548,0,1
3,OrderStatus,1712258156.243039,11456,0,1
5,StockLevel,1712258156.254512,18752,0,1
1,NewOrder,1712258156.273281,98679,0,1
1,NewOrder,1712258156.371982,81150,0,1
1,NewOrder,1712258156.453152,140574,0,1
5,StockLevel,1712258156.593746,15747,0,1
1,NewOrder,1712258156.609511,139542,0,1
2,Payment,1712258156.749080,125779,0,1
2,Payment,1712258156.874878,111408,0,1
2,Payment,1712258156.986305,74291,0,1
1,NewOrder,1712258157.060613,153483,0,1
1,NewOrder,1712258157.214127,113858,0,1
1,NewOrder,1712258157.328003,87483,0,1
1,NewOrder,1712258157.415502,149116,0,1
2,Payment,1712258157.564632,66072,0,1
2,Payment,1712258157.630718,77835,0,1
1,NewOrder,1712258157.708567,174272,0,1
4,Delivery,1712258157.882857,355791,0,1
3,OrderStatus,1712258158.238667,9759,0,1
2,Payment,1712258158.248440,65643,0,1
3,OrderStatus,1712258158.314097,9837,0,1
2,Payment,1712258158.323947,67980,0,1
2,Payment,1712258158.391942,77864,0,1
2,Payment,1712258158.469825,77799,0,1
2,Payment,1712258158.547638,77900,0,1
2,Payment,1712258158.625551,77769,0,1
4,Delivery,1712258158.703334,311811,0,1
2,Payment,1712258159.015160,71969,0,1
4,Delivery,1712258159.087143,311811,0,1
1,NewOrder,1712258159.398972,108172,0,1
2,Payment,1712258159.507161,65652,0,1
1,NewOrder,1712258159.572829,164663,0,1
1,NewOrder,1712258159.737507,141295,0,1
3,OrderStatus,1712258159.878819,10495,0,1
2,Payment,1712258159.889327,75423,0,1
1,NewOrder,1712258159.964764,105363,0,1
2,Payment,1712258160.070143,66072,0,1
2,Payment,1712258160.136228,92246,0,1
2,Payment,1712258160.228487,83765,0,1
1,NewOrder,1712258160.312265,87315,0,1
1,NewOrder,1712258160.399593,140449,0,1
5,StockLevel,1712258160.540055,16264,0,1
1,NewOrder,1712258160.556332,130866,0,1
2,Payment,1712258160.687214,66204,0,1
2,Payment,1712258160.753431,77838,0,1
1,NewOrder,1712258160.831283,146838,0,1
1,NewOrder,1712258160.978137,125781,0,1
2,Payment,1712258161.103933,68985,0,1
2,Payment,1712258161.172932,92094,0,1
